Customer ID,Recency,Frequency,Monetary
12582,239,103,1980.4
12583,3,446,13591.58
12584,4,96,2338.15
12585,234,87,2040.1
12586,17,94,2062.67
12587,8,4,144.0
12588,39,46,958.78
12589,29,180,4695.66
12590,211,68,9864.26
12591,317,68,1338.95
12592,92,81,2582.66
12593,109,21,418.09999999999997
12594,38,199,5090.11
12595,505,19,299.02
12596,51,27,618.27
12597,19,206,3811.22
12598,10,206,4534.09
12599,29,133,2296.72
12600,29,130,4967.42
12601,190,34,681.26
12602,59,12,153.12
12603,22,2,739.1999999999999
12604,79,16,254.18
12605,376,76,1232.95
12606,682,1,21.0
12607,60,101,1579.51
12608,405,16,415.79
12609,78,175,3435.86
12610,23,106,2099.54
12611,52,65,1193.32
12612,74,19,704.04
12613,57,326,6817.37
12614,278,20,315.6
12615,2,270,5740.98
12616,95,54,1131.1
12617,29,41,352.98
12618,22,11,177.31
12619,16,100,3781.38
12620,15,92,1339.41
12621,2,756,24311.2
12622,232,11,180.1
12623,276,173,3747.84
12624,106,38,641.13
12625,212,183,5164.88
12626,23,294,6620.48
12627,11,230,4478.53
12628,4,41,786.46
12629,386,45,1558.22
12630,10,64,1270.88
12631,57,183,3481.57
12632,521,35,804.88
12633,59,306,5678.16
12634,536,20,490.0
12635,90,179,2930.41
12636,739,1,141.0
12637,67,614,8283.81
12638,33,48,921.49
12639,239,64,1312.3700000000001
12640,24,53,1174.58
12641,115,10,185.9
12642,25,47,1013.26
12643,128,51,8304.82
12644,130,111,1918.49
12645,34,160,3539.3
12646,5,45,1346.97
12647,22,515,16955.55
12648,155,65,1112.0
12649,107,118,2294.65
12650,3,20,314.44
12651,335,30,377.75
12652,331,51,1017.03
12653,149,86,4160.83
12654,11,38,601.98
12655,424,16,261.35
12656,17,247,6407.83
12657,11,47,1643.18
12658,19,36,686.05
12659,30,5,91.68
12660,11,13,245.1
12661,436,11,162.0
12662,1,391,6726.54
12663,625,10,239.4
12664,8,45,6070.04
12665,325,17,313.6
12666,394,31,1248.42
12667,58,33,620.13
12668,12,536,11383.03
12669,151,101,2744.0299999999997
12670,10,115,3760.29
12671,606,45,2622.481
12672,330,22,437.05
12673,5,74,1230.02
12674,39,83,1970.6
12675,554,112,957.25
12676,25,107,2843.09
12677,555,21,395.1
12678,42,376,34281.18
12679,59,48,1113.02
12680,1,53,880.81
12681,15,1424,29834.76
12682,4,989,22950.22
12683,4,487,11633.7
12684,8,105,2283.63
12685,28,157,2863.08
12686,372,7,89.14
12687,481,126,2138.91
12688,114,171,4873.8099999999995
12689,26,72,1247.61
12690,206,16,389.01
12691,28,39,1170.4
12692,637,13,110.95
12693,127,79,1703.02
12694,70,83,1843.35
12695,7,59,1407.1200000000001
12696,435,49,851.91
12697,29,41,957.59
12698,590,16,339.75
12699,418,41,638.11
12700,8,268,4939.99
12701,80,147,2446.41
12702,20,12,219.0
12703,71,74,1006.53
12704,7,88,2340.84
12705,15,599,11762.1
12707,292,33,603.42
12708,30,296,5117.66
12709,15,490,30291.76
12710,97,77,1149.02
12711,612,60,1339.05
12712,29,256,6723.03
12713,1,38,848.55
12714,9,696,14093.710000000001
12715,106,20,343.36
12716,4,69,1053.49
12717,151,71,1308.91
12718,71,19,238.25
12719,5,39,644.95
12720,3,479,7787.28
12721,32,239,4013.08
12722,85,53,997.63
12723,4,69,725.07
12724,5,129,2317.52
12725,371,106,2266.76
12726,28,179,4014.6
12727,11,203,5679.53
12728,71,61,1070.17
12729,114,26,453.01
12730,522,47,829.25
12731,24,393,25775.71
12732,180,12,236.26000000000002
12733,234,157,2424.87
12734,353,19,639.65
12735,315,43,779.5699999999999
12736,333,4,234.0
12737,499,2,3710.5
12738,372,11,155.35
12739,78,89,2726.73
12740,64,27,427.6
12741,529,16,406.07
12742,626,67,1201.52
12743,134,131,540.13
12744,52,339,25317.06
12745,487,23,925.41
12746,541,17,254.55
12747,2,249,8898.48
12748,1,6585,53539.64
12749,4,338,6897.36
12750,129,15,275.88
12751,445,62,268.27
12752,81,53,4366.78
12753,23,197,21429.39
12754,236,63,3010.74
12755,281,63,5236.26
12756,87,4,112.08
12757,16,364,7834.650000000001
12758,117,313,9903.24
12759,52,302,5020.74
12760,456,21,347.8
12761,458,27,782.95
12762,8,69,1898.52
12763,138,18,494.08
12764,317,45,1693.88
12765,472,68,1404.58
12766,4,402,8918.99
12767,376,43,949.82
12768,451,10,168.69
12769,239,32,1143.6
12770,211,28,3246.45
12771,486,15,282.3
12772,60,55,892.47
12773,564,6,124.25
12774,536,6,98.7
12775,17,81,1686.1200000000001
12776,668,4,55.5
12777,458,26,519.45
12778,20,114,1775.6799999999998
12779,38,269,6474.11
12780,599,20,337.4
12781,64,25,826.74
12782,5,227,4618.24
12783,2,84,2225.91
12784,9,129,1763.15
12785,364,56,1100.4
12786,610,18,728.5
12787,10,44,862.18
12788,463,26,444.90000000000003
12789,65,8,273.35
12790,192,37,591.85
12791,374,28,863.51
12792,257,47,827.01
12793,335,44,885.53
12794,53,45,860.41
12795,19,14,430.48
12796,628,7,381.0
12797,366,30,552.08
12798,10,33,8510.93
12799,529,15,219.35
12800,470,34,584.25
12801,501,50,1071.82
12802,187,138,2416.42
12803,393,55,1092.81
12804,466,66,325.37
12805,382,58,1434.95
12806,435,67,2878.96
12807,383,16,330.34999999999997
12808,37,47,776.7
12809,178,81,1755.94
12810,535,32,534.99
12811,261,56,1033.9
12812,45,15,229.64000000000001
12813,502,45,1687.8
12814,102,2,125.92
12815,148,47,1063.46
12816,96,29,572.2
12817,281,25,690.98
12818,262,14,1542.08
12819,458,19,540.52
12820,3,159,2689.52
12821,214,13,220.8
12822,71,46,948.88
12823,75,18,6501.5
12824,60,25,397.12
12825,521,24,518.63
12826,3,157,2800.75
12827,6,25,430.15
12828,3,56,1018.71
12829,337,19,385.3
12830,38,38,6814.64
12831,262,22,451.11
12832,32,27,383.03000000000003
12833,145,24,417.38
12834,283,18,312.38
12835,428,615,5996.83
12836,59,411,6559.7300000000005
12837,173,88,662.66
12838,34,356,2975.91
12839,3,554,9669.12
12840,144,176,4041.97
12841,5,644,6958.2
12842,70,48,1917.99
12843,66,219,6583.36
12844,29,103,648.6
12845,267,27,354.09000000000003
12846,682,1,15.58
12847,22,119,1609.0
12848,676,16,208.0
12849,31,144,3042.4700000000003
12850,446,2,330.0
12851,97,77,280.76
12852,295,17,311.55
12853,135,148,3907.5
12854,79,261,2970.9700000000003
12855,373,67,612.84
12856,8,311,2170.78
12857,211,121,3688.0
12858,383,37,147.27
12859,459,21,575.1
12860,693,16,54.22
12861,620,4,68.25
12862,426,131,984.62
12863,52,48,2792.55
12864,138,7,299.57
12865,26,195,3323.47
12866,283,63,1227.35
12867,26,1050,7829.26
12868,186,134,2043.76
12869,682,37,337.66999999999996
12870,375,93,1676.95
12871,84,18,744.02
12872,327,394,3283.96
12873,282,35,2027.3
12874,385,48,948.42
12875,143,8,1356.9900000000002
12876,58,170,4081.79
12877,4,274,2942.14
12878,236,47,854.99
12879,45,10,573.22
12880,382,36,640.13
12881,276,7,298.0
12882,9,13,1463.04
12883,25,42,703.47
12884,88,7,309.05
12885,63,71,1175.22
12886,68,82,1378.4
12887,384,13,222.4
12888,214,5,354.12
12889,381,25,385.46000000000004
12890,24,135,706.02
12891,186,11,840.5
12892,397,18,263.38
12893,31,31,176.55
12894,575,21,157.35
12895,42,22,372.8
12897,205,14,514.25
12898,464,27,296.21
12899,414,17,366.4
12900,422,13,340.33000000000004
12901,9,116,17654.54
12902,265,10,138.68
12903,429,41,833.5300000000001
12904,18,71,496.06
12905,577,54,1018.42
12906,12,63,2919.81
12907,396,25,508.91
12908,176,5,1776.0
12909,40,157,3088.34
12910,23,137,5796.52
12911,552,236,1651.72
12912,3,24,1662.3
12913,5,92,6283.24
12914,401,9,223.98
12915,149,60,975.1
12916,139,172,4479.73
12917,128,50,4359.2
12918,626,1,10953.5
12919,8,50,1335.19
12920,17,59,486.64
12921,9,1499,35233.24
12922,161,28,405.38
12923,64,60,770.42
12924,88,74,2469.4
12925,5,50,729.3299999999999
12926,411,262,1523.97
12927,395,11,197.31
12928,35,179,4304.89
12929,312,8,117.85
12930,78,25,415.8
12931,22,217,91810.34
12932,539,95,1698.56
12933,24,289,1636.6299999999999
12934,737,2,181.65
12935,2,254,4243.86
12936,17,62,1063.9
12937,15,217,3097.61
12938,26,9,114.14
12939,64,86,25264.8
12940,55,96,899.69
12941,724,27,377.49
12942,131,70,675.6
12943,558,25,496.5
12944,36,30,604.51
12945,288,51,900.11
12946,437,20,324.45
12947,144,97,1603.99
12948,16,125,2317.43
12949,31,715,15526.7
12950,2,23,1843.0
12951,9,194,3213.7200000000003
12952,6,79,1387.79
12953,10,48,828.8100000000001
12954,639,10,162.45
12955,1,180,4757.16
12956,306,42,521.89
12957,10,490,8706.97
12958,400,49,467.34
12959,484,8,150.95
12960,414,70,1322.0700000000002
12961,379,40,211.99
12962,7,16,266.39
12963,8,174,3235.79
12964,437,26,132.24
12965,89,108,769.8100000000001
12966,10,10,160.18
12967,358,65,2938.52
12968,112,5,135.95
12969,603,5,122.45
12970,7,345,1453.6
12971,4,407,15704.6
12972,414,77,1161.2
12973,414,6,385.55
12974,198,32,408.95
12975,437,112,2100.09
12976,212,154,3156.38
12977,156,58,513.88
12978,385,163,2502.82
12979,729,56,517.7
12980,158,52,16245.78
12981,30,20,372.21999999999997
12982,243,178,2744.81
12983,598,30,490.08
12984,19,4,97.5
12985,1,76,1239.38
12986,429,102,2729.84
12987,74,66,1312.21
12988,292,83,505.82
12989,3,97,13551.75
12990,31,27,955.5
12991,23,45,764.82
12992,725,6,93.35
12993,23,76,1259.6299999999999
12994,4,61,974.42
12995,85,3,211.32
12996,376,22,355.5
12997,22,107,2110.91
12998,493,58,920.08
12999,196,28,455.88
13000,107,62,1032.5
13001,4,1015,24042.65
13002,318,23,414.13
13003,106,6,149.05
13004,12,815,11650.85
13005,174,56,999.68
13006,56,4,81.57
13007,580,11,175.25
13008,323,35,612.13
13009,673,4,234.0
13010,374,12,330.12
13011,372,3,50.550000000000004
13012,9,153,2957.83
13013,1,487,11097.43
13014,11,224,5381.08
13015,53,348,6579.78
13016,73,47,789.89
13017,7,1,204.0
13018,16,603,9763.16
13019,379,55,1229.95
13020,563,39,618.96
13021,4,257,4887.24
13022,430,5,65.3
13023,64,76,1449.03
13024,471,31,555.87
13025,732,13,323.39
13026,1,82,1733.08
13027,114,85,17239.2
13028,23,45,661.3199999999999
13029,31,17,1927.3
13030,11,92,752.4399999999999
13031,407,407,3292.84
13032,52,207,2815.96
13033,357,13,220.55
13034,55,44,756.8199999999999
13035,74,42,1364.2
13036,685,6,307.1
13037,138,232,3914.95
13038,80,28,908.46
13039,584,55,1010.73
13040,9,43,676.99
13041,451,35,799.13
13042,598,184,1488.59
13043,273,13,516.42
13044,291,416,4848.05
13045,99,45,808.92
13046,31,56,949.25
13047,32,378,8428.53
13048,14,265,4049.13
13049,64,26,1408.24
13050,15,984,11986.52
13051,579,4,155.8
13052,212,248,3119.33
13053,622,17,127.65
13055,78,154,2321.11
13056,551,19,209.48
13057,530,40,709.59
13058,25,8,271.40000000000003
13059,250,198,2291.77
13060,254,15,307.53000000000003
13061,72,10,248.61
13062,191,11,346.98
13063,481,12,188.4
13064,13,93,1666.84
13065,373,62,1055.05
13066,24,48,470.8
13067,82,32,508.51
13068,10,2,344.0
13069,1,1038,9284.45
13070,192,33,751.7
13071,612,12,129.22
13072,267,7,177.15
13073,411,27,418.08
13074,511,29,1378.74
13075,130,22,919.61
13076,458,9,135.4
13077,1,330,2740.65
13078,3,791,29018.06
13079,4,17,419.18
13080,179,19,280.73
13081,12,2280,56838.37
13082,126,129,7335.75
13083,4,22,395.43
13084,492,2,122.39999999999999
13085,158,84,2433.28
13086,383,47,439.33000000000004
13087,726,15,313.64
13088,417,20,236.11
13089,3,3315,113416.91
13090,9,274,13091.74
13091,28,45,2321.82
13092,71,105,2140.28
13093,276,1037,54144.25
13094,21,29,2209.44
13095,71,6,74.39999999999999
13096,394,1,419.7000000000001
13097,33,1004,13324.1
13098,1,572,28882.44
13099,99,1,207.36
13101,234,51,695.4
13102,1,481,11380.1
13103,40,33,709.64
13104,3,30,1709.1
13105,436,1,72.0
13106,133,16,603.46
13107,44,178,5253.07
13108,373,35,748.4599999999999
13109,60,70,1134.03
13110,31,252,2957.4700000000003
13111,719,12,321.88000000000005
13112,541,2,20.599999999999998
13113,1,377,18230.07
13114,731,16,234.38
13115,12,314,5494.7
13116,138,30,501.14
13117,22,162,2255.66
13118,20,148,2415.41
13119,669,11,134.9
13120,239,1,30.6
13121,269,50,283.73
13122,94,55,922.39
13123,473,45,506.75
13124,90,283,4641.66
13125,524,20,148.62
13126,5,238,3774.81
13127,78,15,259.17
13128,631,1,263.5
13129,452,11,233.25
13130,94,2,64.0
13131,23,149,3313.77
13132,262,3,77.3
13133,274,12,200.45
13134,86,121,2475.23
13135,197,18,3371.45
13136,56,315,6274.56
13137,11,1394,7586.94
13138,22,85,1274.01
13139,16,265,8202.98
13140,108,105,1054.92
13141,85,424,7656.08
13142,19,23,307.09000000000003
13143,585,23,405.1
13144,333,6,135.35
13145,40,9,1128.52
13146,26,17,228.91
13147,10,4,712.8
13148,29,763,8497.82
13149,14,86,1676.06
13150,484,8,449.96999999999997
13151,296,158,2465.21
13152,417,135,2146.38
13153,6,15,486.22
13154,399,93,1624.84
13155,33,112,1370.48
13156,385,104,1586.54
13157,49,251,5687.36
13158,95,100,1508.18
13159,9,120,1429.35
13160,22,4,91.8
13161,313,33,472.13
13162,122,238,9275.49
13163,610,2,17.65
13164,569,10,372.2
13165,46,49,1451.1599999999999
13166,283,68,875.93
13167,19,81,1125.15
13168,36,173,1840.73
13169,64,18,840.08
13170,27,30,108.81
13171,22,46,468.41
13172,400,1,69.6
13173,4,216,2399.82
13174,16,938,7995.36
13175,582,46,831.45
13176,46,67,481.49
13177,65,30,512.2
13178,26,687,14059.19
13179,619,34,572.3100000000001
13180,607,4,86.10000000000001
13181,381,19,359.69
13182,45,11,121.18
13183,8,156,7036.18
13184,15,179,1668.95
13185,268,1,71.4
13186,40,79,1575.89
13187,337,56,341.36
13188,11,2,114.6
13189,19,29,260.68
13190,544,17,570.66
13191,658,59,164.69
13192,95,162,2558.58
13193,61,25,112.08
13194,136,10,472.78
13195,414,46,136.73
13196,11,188,3068.84
13197,610,19,373.01000000000005
13198,10,314,4974.2300000000005
13199,4,203,15964.210000000001
13200,19,46,870.09
13201,502,86,1233.06
13202,394,69,1580.3
13203,10,169,2648.25
13204,731,57,966.6600000000001
13205,443,1,2803.2
13206,400,566,8308.19
13207,15,13,535.86
13208,59,252,1976.3
13209,30,366,8509.51
13210,94,22,353.48
13211,10,201,2618.77
13212,20,141,786.83
13213,57,204,3851.52
13214,418,229,3264.23
13215,402,1,81.6
13216,268,5,333.74
13217,122,5,666.48
13218,127,5,62.63999999999999
13219,618,11,76.23
13220,78,53,1336.09
13221,240,66,847.41
13222,577,1,88.5
13223,200,13,969.12
13224,60,108,2155.95
13225,3,125,16260.07
13226,273,28,312.46
13227,202,9,257.7
13228,81,2,358.0
13229,226,10,160.95
13230,4,1251,6120.01
13232,13,202,1328.35
13233,74,76,1176.46
13234,673,61,346.5
13235,212,58,1031.07
13236,25,36,744.85
13237,388,24,643.0
13238,17,47,1006.63
13239,262,93,1594.69
13240,96,201,1475.79
13241,412,40,112.53
13242,112,35,699.4
13243,203,205,1220.38
13244,93,27,121.74000000000001
13245,51,45,989.22
13246,18,371,3351.75
13247,18,25,501.12
13248,125,26,465.68
13249,92,35,1608.9299999999998
13250,461,19,253.09
13251,402,25,252.68
13252,394,19,399.3
13253,157,75,2951.11
13254,376,4,51.41
13255,9,26,678.76
13257,436,7,149.75
13258,12,44,1009.43
13259,62,313,1402.54
13260,61,8,557.62
13261,269,9,944.1
13262,263,50,573.45
13263,1,1905,8676.2
13264,443,38,722.5600000000001
13265,53,90,2092.66
13266,11,307,6135.04
13267,3,411,9429.81
13268,18,433,3174.75
13269,1,486,8537.32
13270,366,1,590.0
13271,37,87,211.49
13272,31,15,276.56
13273,113,16,138.98
13274,409,19,360.85
13275,384,48,238.86
13276,64,239,1891.91
13277,16,23,523.3
13278,41,108,1435.85
13279,78,9,137.75
13280,122,205,2293.33
13281,439,22,350.85
13282,18,51,1313.19
13283,60,20,373.36
13284,331,13,201.19
13285,23,231,3364.59
13286,600,49,734.91
13287,603,53,781.59
13288,443,10,927.61
13289,724,16,307.95
13290,438,1,208.63
13291,156,318,3270.79
13292,39,59,994.51
13293,392,72,1192.94
13294,190,102,1689.53
13295,360,67,1101.97
13296,137,53,792.51
13297,8,123,4368.62
13298,1,2,360.0
13299,268,62,1218.7
13300,169,55,1285.51
13301,104,81,618.09
13302,155,3,159.2
13303,400,4,61.72
13304,351,78,1217.99
13305,4,200,3616.41
13306,430,4,53.65
13307,120,15,273.34
13308,23,71,1670.3700000000001
13309,7,130,1706.37
13310,28,95,1541.2
13311,4,26,598.57
13312,451,5,124.75
13313,22,187,3445.32
13314,2,62,775.94
13315,689,22,310.26000000000005
13316,37,173,12940.82
13317,66,344,6486.091
13318,1,20,640.76
13319,5,923,21323.22
13320,78,149,2211.6
13321,72,11,567.36
13322,17,25,199.48000000000002
13323,3,21,787.85
13324,36,132,10513.47
13325,82,12,675.3
13326,432,13,281.76
13327,39,321,9134.48
13328,316,17,1308.48
13329,32,118,4808.7699999999995
13330,93,117,2796.1
13331,402,12,262.4
13332,14,21,350.9
13333,411,55,1015.74
13334,82,474,6201.8
13336,77,51,795.12
13337,546,87,1575.26
13338,158,128,2445.62
13339,201,54,860.12
13340,45,215,22100.56
13341,261,42,775.85
13343,178,19,353.43
13344,68,116,2511.69
13345,288,20,389.5
13346,463,6,299.4
13347,70,8,341.35999999999996
13348,64,14,233.76000000000002
13349,11,16,247.32
13350,16,40,979.12
13351,66,16,373.94
13352,60,24,397.97999999999996
13354,71,51,743.53
13355,122,32,674.7
13356,80,42,768.24
13357,257,394,3805.51
13358,269,29,439.03
13359,64,56,1043.31
13360,432,66,1553.65
13361,472,34,1450.5
13362,9,298,5394.07
13363,18,102,1723.8600000000001
13364,71,10,134.96
13365,34,128,2225.37
13366,50,1,56.16
13367,432,20,510.2
13368,257,52,1121.5
13369,366,14,308.28000000000003
13370,372,39,754.87
13371,505,92,2297.66
13372,90,23,378.64
13373,61,358,7587.19
13374,415,17,422.8
13375,89,71,1792.23
13376,99,53,1019.76
13377,397,78,1552.88
13379,26,97,572.56
13380,433,3,62.4
13381,32,356,8224.37
13382,281,86,1387.58
13383,544,1,305.28000000000003
13384,31,264,6680.83
13385,330,35,534.57
13386,414,31,835.46
13387,417,71,186.94
13388,131,69,1185.65
13389,11,51,797.96
13390,75,13,544.08
13391,204,1,59.8
13392,677,8,91.14
13393,584,69,1131.45
13394,2,409,6621.7
13395,185,81,1180.23
13396,29,43,1360.99
13397,73,89,3191.87
13398,192,39,670.34
13399,464,15,275.4
13400,583,23,310.83
13402,127,79,1226.85
13403,18,9,229.5
13404,1,11,252.49
13405,74,43,1213.811
13406,427,9,568.92
13407,579,85,2244.7
13408,2,826,50174.782
13410,24,50,2201.96
13411,107,18,213.55
13412,620,34,487.35
13413,640,43,429.44
13414,134,55,2494.14
13415,473,101,784.17
13416,44,26,940.8000000000001
13417,5,77,1669.49
13418,12,537,11559.66
13419,64,16,221.06
13420,150,8,159.85
13421,40,265,4058.75
13422,64,127,2626.3
13423,429,12,217.03
13424,450,40,572.77
13425,108,177,3390.4300000000003
13426,1,343,8167.38
13427,19,52,1006.53
13428,10,138,478.54
13429,11,67,1006.8
13430,19,49,679.4499999999999
13431,67,129,3316.2400000000002
13432,571,111,439.1
13433,501,24,658.32
13434,74,35,1666.8600000000001
13435,5,149,4447.33
13436,2,12,196.89
13437,14,167,3408.06
13438,547,1,46.5
13439,255,167,986.61
13440,423,59,1295.25
13441,92,38,720.9
13442,667,38,419.87
13443,449,200,1273.16
13444,374,57,619.08
13445,626,7,241.89999999999998
13446,430,192,3881.89
13447,23,59,1129.14
13448,17,533,8745.93
13449,24,19,291.88
13450,27,147,4120.04
13451,26,1022,7090.06
13452,259,3,729.8
13453,166,40,781.6899999999999
13454,641,23,219.87
13455,25,114,2212.9900000000002
13456,18,63,1766.72
13457,689,9,148.22
13458,7,485,11959.27
13459,625,73,1160.4099999999999
13460,29,17,183.44
13461,39,62,4160.0
13462,253,71,1153.8500000000001
13464,58,151,3097.64
13465,446,34,931.12
13466,184,55,1013.35
13467,11,98,1071.91
13468,2,693,12793.28
13469,653,6,82.4
13470,99,10,165.0
13471,1,254,2501.84
13472,464,28,592.24
13473,61,70,2657.76
13474,236,126,646.59
13475,191,86,1431.78
13476,179,106,2061.47
13477,38,157,2819.17
13478,469,125,2215.78
13479,201,53,851.37
13480,417,41,627.82
13481,46,224,3830.84
13482,232,20,336.09
13483,66,10,140.34
13484,241,39,790.72
13485,233,158,3019.2200000000003
13486,78,69,1122.41
13487,58,49,846.87
13488,17,679,14205.96
13489,105,14,449.52
13490,654,8,154.25
13491,52,261,4467.66
13492,136,50,1269.84
13493,275,8,618.63
13494,312,18,316.26000000000005
13495,8,133,4863.31
13496,11,35,653.33
13497,283,58,1166.83
13498,730,17,327.38
13499,18,42,1159.1100000000001
13500,23,85,1466.3
13501,288,114,2885.11
13502,17,33,780.5
13503,71,189,1859.24
13504,64,22,295.93
13505,73,215,4393.63
13506,316,81,1338.08
13507,3,162,2479.16
13508,244,28,287.05
13509,9,49,1114.72
13510,1,289,4558.29
13511,677,5,282.76
13512,261,39,713.39
13513,127,40,824.59
13514,74,21,815.9000000000001
13515,73,76,1265.82
13516,21,61,1685.26
13517,60,141,2128.42
13518,86,36,627.16
13519,78,19,343.21
13520,59,199,6606.0
13521,1,418,1071.73
13522,30,5,125.80000000000001
13523,33,201,4534.57
13524,41,27,680.1800000000001
13525,15,6,628.78
13526,738,44,1182.0
13527,34,443,4541.29
13529,79,15,307.76
13530,634,18,402.98
13531,205,75,1433.07
13532,34,66,210.31
13533,183,75,269.09
13534,2,392,7720.9
13535,403,1,89.5
